,arena,boxscore_index,date,datetime,game,location,opponent_abbr,opponent_conference,opponent_name,opponent_rank,overtimes,points_against,points_for,result,season_losses,season_wins,streak,time,type
2009-11-13-green-bay,Memorial Athletic & Convocation Center,2009-11-13-green-bay,"Fri, Nov 13, 2009",2009-11-13,1,Neutral,green-bay,Horizon,Green Bay,,0,56,68,Win,0,1,W 1,,Reg
2009-11-14-kent-state,Memorial Athletic & Convocation Center,2009-11-14-kent-state,"Sat, Nov 14, 2009",2009-11-14,2,Away,kent-state,MAC,Kent State,,0,72,65,Loss,1,1,L 1,,Reg
2009-11-15-samford,Memorial Athletic & Convocation Center,2009-11-15-samford,"Sun, Nov 15, 2009",2009-11-15,3,Neutral,samford,Southern,Samford,,0,52,55,Win,1,2,W 1,,Reg
2009-11-17-jacksonville-state,Pete Mathews Coliseum,2009-11-17-jacksonville-state,"Tue, Nov 17, 2009",2009-11-17,4,Away,jacksonville-state,OVC,Jacksonville State,,0,62,87,Win,1,3,W 2,,Reg
2009-11-21-alabama-birmingham,Bartow Arena,2009-11-21-alabama-birmingham,"Sat, Nov 21, 2009",2009-11-21,5,Home,georgia,SEC,Georgia,,0,56,72,Win,1,4,W 3,,Reg
2009-11-24-alabama-birmingham,Bartow Arena,2009-11-24-alabama-birmingham,"Tue, Nov 24, 2009",2009-11-24,6,Home,troy,Sun Belt,Troy,,0,59,77,Win,1,5,W 4,,Reg
2009-11-28-alabama-birmingham,Bartow Arena,2009-11-28-alabama-birmingham,"Sat, Nov 28, 2009",2009-11-28,7,Home,florida-am,MEAC,Florida A&M,,0,59,90,Win,1,6,W 5,,Reg
2009-12-02-alabama-birmingham,Bartow Arena,2009-12-02-alabama-birmingham,"Wed, Dec 2, 2009",2009-12-02,8,Home,middle-tennessee,Sun Belt,Middle Tennessee,,0,64,65,Win,1,7,W 6,,Reg
2009-12-04-alabama-birmingham,Bartow Arena,2009-12-04-alabama-birmingham,"Fri, Dec 4, 2009",2009-12-04,9,Home,east-tennessee-state,A-Sun,East Tennessee State,,0,52,74,Win,1,8,W 7,,Reg
2009-12-16-alabama-birmingham,Bartow Arena,2009-12-16-alabama-birmingham,"Wed, Dec 16, 2009",2009-12-16,10,Home,cincinnati,Big East,Cincinnati,25,0,47,64,Win,1,9,W 8,,Reg
2009-12-19-south-alabama,Mitchell Center,2009-12-19-south-alabama,"Sat, Dec 19, 2009",2009-12-19,11,Away,south-alabama,Sun Belt,South Alabama,,0,54,72,Win,1,10,W 9,,Reg
2009-12-22-alabama-birmingham,Bartow Arena,2009-12-22-alabama-birmingham,"Tue, Dec 22, 2009",2009-12-22,12,Home,butler,Horizon,Butler,20,0,57,67,Win,1,11,W 10,,Reg
2009-12-30-virginia,John Paul Jones Arena,2009-12-30-virginia,"Wed, Dec 30, 2009",2009-12-30,13,Away,virginia,ACC,Virginia,,0,72,63,Loss,2,11,L 1,,Reg
2010-01-02-arkansas,Bud Walton Arena,2010-01-02-arkansas,"Sat, Jan 2, 2010",2010-01-02,14,Away,arkansas,SEC,Arkansas,,0,72,73,Win,2,12,W 1,,Reg
2010-01-06-alabama-birmingham,Bartow Arena,2010-01-06-alabama-birmingham,"Wed, Jan 6, 2010",2010-01-06,15,Home,east-carolina,CUSA,East Carolina,,0,68,76,Win,2,13,W 2,,Reg
2010-01-09-tulane,Avron B. Fogelman Arena,2010-01-09-tulane,"Sat, Jan 9, 2010",2010-01-09,16,Away,tulane,CUSA,Tulane,,0,49,58,Win,2,14,W 3,,Reg
2010-01-16-southern-methodist,Moody Coliseum,2010-01-16-southern-methodist,"Sat, Jan 16, 2010",2010-01-16,17,Away,southern-methodist,CUSA,Southern Methodist,,0,62,63,Win,2,15,W 4,,Reg
2010-01-20-alabama-birmingham,Bartow Arena,2010-01-20-alabama-birmingham,"Wed, Jan 20, 2010",2010-01-20,18,Home,southern-mississippi,CUSA,Southern Mississippi,,0,56,57,Win,2,16,W 5,,Reg
2010-01-23-marshall,Henderson Center,2010-01-23-marshall,"Sat, Jan 23, 2010",2010-01-23,19,Away,marshall,CUSA,Marshall,,0,59,61,Win,2,17,W 6,,Reg
2010-01-26-alabama-birmingham,Bartow Arena,2010-01-26-alabama-birmingham,"Tue, Jan 26, 2010",2010-01-26,20,Home,tulsa,CUSA,Tulsa,,0,55,65,Win,2,18,W 7,,Reg
2010-01-30-alabama-birmingham,Bartow Arena,2010-01-30-alabama-birmingham,"Sat, Jan 30, 2010",2010-01-30,21,Home,texas-el-paso,CUSA,UTEP,,2,74,65,Loss,3,18,L 1,,Reg
2010-02-03-memphis,FedExForum,2010-02-03-memphis,"Wed, Feb 3, 2010",2010-02-03,22,Away,memphis,CUSA,Memphis,,0,85,75,Loss,4,18,L 2,,Reg
2010-02-06-rice,Tudor Fieldhouse,2010-02-06-rice,"Sat, Feb 6, 2010",2010-02-06,23,Away,rice,CUSA,Rice,,0,65,76,Win,4,19,W 1,,Reg
2010-02-13-alabama-birmingham,Bartow Arena,2010-02-13-alabama-birmingham,"Sat, Feb 13, 2010",2010-02-13,24,Home,marshall,CUSA,Marshall,,0,81,74,Loss,5,19,L 1,,Reg
2010-02-17-southern-mississippi,Reed Green Coliseum,2010-02-17-southern-mississippi,"Wed, Feb 17, 2010",2010-02-17,25,Away,southern-mississippi,CUSA,Southern Mississippi,,0,54,59,Win,5,20,W 1,,Reg
2010-02-20-alabama-birmingham,Bartow Arena,2010-02-20-alabama-birmingham,"Sat, Feb 20, 2010",2010-02-20,26,Home,houston,CUSA,Houston,,0,66,75,Win,5,21,W 2,,Reg
2010-02-24-central-florida,New UCF Arena,2010-02-24-central-florida,"Wed, Feb 24, 2010",2010-02-24,27,Away,central-florida,CUSA,Central Florida,,0,49,53,Win,5,22,W 3,,Reg
2010-02-27-alabama-birmingham,Bartow Arena,2010-02-27-alabama-birmingham,"Sat, Feb 27, 2010",2010-02-27,28,Home,tulane,CUSA,Tulane,,0,55,76,Win,5,23,W 4,,Reg
2010-03-03-alabama-birmingham,Bartow Arena,2010-03-03-alabama-birmingham,"Wed, Mar 3, 2010",2010-03-03,29,Home,memphis,CUSA,Memphis,,0,70,65,Loss,6,23,L 1,,Reg
2010-03-06-texas-el-paso,Don Haskins Center,2010-03-06-texas-el-paso,"Sat, Mar 6, 2010",2010-03-06,30,Away,texas-el-paso,CUSA,UTEP,24,0,52,50,Loss,7,23,L 2,,Reg
2010-03-11-alabama-birmingham,Donald W. Reynolds Center,2010-03-11-alabama-birmingham,"Thu, Mar 11, 2010",2010-03-11,31,Neutral,southern-mississippi,CUSA,Southern Mississippi,,0,58,44,Loss,8,23,L 3,,Conf-Tourney
2010-03-16-alabama-birmingham,Bartow Arena,2010-03-16-alabama-birmingham,"Tue, Mar 16, 2010",2010-03-16,32,Home,coastal-carolina,Big South,Coastal Carolina,,0,49,65,Win,8,24,W 1,,NIT
2010-03-20-alabama-birmingham,Bartow Arena,2010-03-20-alabama-birmingham,"Sat, Mar 20, 2010",2010-03-20,33,Home,north-carolina-state,ACC,NC State,,0,52,72,Win,8,25,W 2,,NIT
2010-03-23-alabama-birmingham,Bartow Arena,2010-03-23-alabama-birmingham,"Tue, Mar 23, 2010",2010-03-23,34,Home,north-carolina,ACC,North Carolina,,0,60,55,Loss,9,25,L 1,,NIT
2009-11-16-mississippi,C.M. Tad Smith Coliseum,2009-11-16-mississippi,"Mon, Nov 16, 2009",2009-11-16,1,Away,mississippi,SEC,Mississippi,,0,90,53,Loss,1,0,L 1,,Reg
2009-11-21-belmont,Curb Event Center,2009-11-21-belmont,"Sat, Nov 21, 2009",2009-11-21,2,Away,belmont,A-Sun,Belmont,,0,78,42,Loss,2,0,L 2,,Reg
